track,artist,date,rating
b'Gravity Grave',b'Verve',5 October 1992 ,3.84
"b""How Can You Mend a Broken Heart / Let's Stay Together""",b'Al Green',1978,3.84
b'Can You Get to That / Back in Our Minds',b'Funkadelic',September 1971 ,3.85
"b""It's You / I Just Want to Be Your Friend""",b'The Millennium',May 1968 ,3.95
,,,
,,,
b'All in the Mind',b'Verve',9 March 1992 ,3.80
"b""Somethin' Else / Boll Weevil Song""",b'Eddie Cochran',27 July 1959 ,3.85
b'Space Guitar / Half Pint-a-Whiskey',b'Young John Watson',March 1954 ,3.81
b'Kid / Tattooed Love Boys',b'Pretenders',June 1979 ,3.84
"b""Fisherman's Blues / Lost Highway""",b'The Waterboys',1988,3.84
b'Just Make Love to Me / Oh! Yeh',b'Muddy Waters',May 1954 ,3.86
"b""For the Love of Money / People Keep Tellin' Me""","b""O'Jays""",April 1974 ,3.82
,,,
"b""Identity / Let's Submerge""",b'X-Ray Spex',July 1978 ,3.82
b'Mathilde / Jef',b'Jacques Brel',1964,3.93
b'With a Girl Like You / I Want You',b'The Troggs',July 1966 ,3.85
b'Caroline Says (Parts 1 & 2)',b'Lou Reed',February 1974 ,3.85
b'Spotlight',b'Jessie Ware',28 February 2020 ,3.86
b'We Major / Drive Slow',b'Kanye West',October 2005 ,3.89
b'Karuzela z madonnami / Czarne anio\xc5\x82y / Taki pejza\xc5\xbc',b'Ewa Demarczyk',20 October 1963 ,3.84
,,,
b'Black Metallic',b'Catherine Wheel',November 1991 ,3.84
b'Wish You Were Here',b'Pink Floyd',14 June 2013 ,4.16
b'Heavenly Pop Hit / Whole Lot of Non',b'The Chills',1990,3.81
b'Horror Head',b'Curve',6 July 1992 ,3.89
b'Magic Potion / Cast a Spell',b'The Open Mind',August 1969 ,3.89
b'Manteca / Cool Breeze',b'Dizzy Gillespie and His Orchestra',August 1948 ,3.89
b'Pipeline / Move It',b'The Chantays',December 1962 ,3.83
,,,
b'These Arms of Mine / Hey Hey Baby',b'Otis Redding',November 1962 ,3.85
b'Initials B.B. / Ford Mustang',b'Serge Gainsbourg',1968,3.80
b'Nobody but Me / Sueno',b'The Human Beinz',September 1967 ,3.85
